wiI7pd,bulan_tahun,label_nbc_fasttext
Tempat yang indah dan sejuk,February 2022,positif
"Wenak le...., sejuk alamy sekaly...., pengen nyemplung tapi gk bawa ganti...wkwkwkwk, payah...",February 2022,positif
Kereen,February 2022,netral
"Mari berbahagia, lihat saja!!",February 2022,positif
"Air bening saat sepi, enaknya berkunjung pagi.",February 2022,positif
Murce sekali,February 2022,positif
Bagus,February 2022,positif
"mantep seger asik, tapi gua saranin lu bawa gopro, soalnya foto luarnya biasa aja cuma kalo nyelem dalam air ada rumput yang bagus buat foto, atau video",February 2022,positif
Bagus tempatnya cocok buat refresing,February 2022,positif
Wisata alam sumbersira lumayan bagus untuk yang sedang ingin menikmati nuansa alam. Ditmbah sumber air yang jernih membuat badan menjadi segar. Untuk tiketnya dewasa 5k dan anak kecil 3k. Parkir 4k.,February 2022,positif
Jernih dan segar,February 2022,positif
Tempat yang sejuk nyaman asri dan bagi yang suka berenang sangat cocok sekali,February 2022,positif
Murah meriah,February 2022,netral
Lumayan. Bagus sayang kurang nya tempat duduk...ato Gasebo. Jadi bingung kalo nyantai ato duduk...masalah lainnya bagus..tiketnya pun murah 5 rb..parkir 3 RB..jadi meria lah😀😀😀 …,February 2022,positif
"Mantap buat salto"" bosku,cuman hati"" banyak batunya 🤭😁 …",February 2022,netral
"Bagus, nyaman, airnya jernih dan segar, kedalaman 1 sampai 1,5 m",February 2022,positif
Di jamin endues..,February 2022,positif
Asyik buat main air,February 2022,positif
Terpesona melihat pemandangan disana,February 2022,positif
Sumber air alami,February 2022,positif
"Tempat alami sumber air besar,dan tiket murah",February 2022,positif
"Masih alami ,mungkin perlu fasilitas utk bermain kolam utk anak",February 2022,positif
lumayan,February 2022,netral
"Tempat rekreasi murah meriah berlatar belakang wahana alam. Yaitu kolam renang alami yg airnya berasal dari sumber. Di kelilingi persawahan yang luas, tempat ini sangat bernuansa pedesaan, asri dan sejuk.",February 2022,positif
"seger, aksesnya cukup mudah, tiketnya murah",February 2022,positif
"Cukup jernih, lumayan ramai pas weekday, apalagi pas weekend. Beberapa spot bagus buat foto terutama spot ganggang. Harga tarif masuk 5 ribu, parkir 3 ribu, sewa ban 2-5 ribu, ada fasilitas bilas berbayar dan kuliner juga.",February 2022,positif
Kalau tidak ada foto kurang jelas lokasi detail,February 2022,negatif
Sejuk,February 2022,netral
Air sumber alam asli.....suip,February 2022,positif
Lokasi nyaman.,February 2022,positif
Sumber mata air yg juernih dan menyegarkan mata dan badan.,February 2022,positif
Sipp,February 2022,positif
"Bagus, tempatnya bersih. Hindari hari libur untuk orang-orang yang tidak suka keramaian atau yg mau ngambil foto aestetic",February 2022,positif
Kemenangan,February 2022,netral
Tempat yang nyaman untuk bagi yang suka destinasi wisata embung dan menyukai pemandangan serta estetika alam,February 2022,positif
tenang dan nyaman,February 2022,positif
"Wisata keluarga murah meriah🥰🥰🥰...cukup bayar parkir weekday..untuk weekend tiket masuk 5-10rb/org
Tempat parkir luas...akses mudah …",February 2022,negatif
"Debest wisata air yg ga bakalan nguras kantong, dengan pemandangan yg iconic banget buat jepret sana sini 😍 …",February 2022,positif
Recommended waktu pagi hari,February 2022,positif
Airnya segar banget... tempat refreshing yang murah meriah,February 2022,positif
Seger,February 2022,positif
Sangat indah sekali,February 2022,positif
Lokasinya masih asri... airnya nyegerin bgt...,February 2022,positif
"Pemandangan ijo2, minggu rame pol ga jadi renang.",February 2022,netral
"Tempat nya bagus, cuman sayang nya Tempat untuk nongkrong habis renang sambil ngopi. Itu aja yang kurang",February 2022,negatif
Bagus,February 2022,positif
Sumber paling recommended. Benar-benar asyik buat renang.,February 2022,positif
Lumyan,February 2022,netral
"Tempatnya bagus cuman saran sumbernya diperluaskan lagi karena untuk pengunjung sebanyak itu tempat renangnya diperluas terdapat juga food court dengan harga murah, untuk tiket masuk dan parkir sepeda juga terjangkau tempat parkir juga luas rekomended untuk berkunjung kesini bersama keluarga",February 2022,positif
Enakk buat keluarga cuyyyy,February 2022,positif
Luar biasa...,February 2022,positif
"Minggu depan akan kesana,sepertinya bagus",February 2022,positif
Cocok buat ngadem,February 2022,netral
Tempat nongkrong nyaman bareng teman,February 2022,positif
Sangat alami dan eksotik,February 2022,positif
Tempatnya asri. Cocok untuk melepas penat,February 2022,positif
Perlu di kembangkan LBH baik LG....mohon perhatian pihak pemerintah terkait,February 2022,positif
Masih segar airnya,February 2022,positif
Tempatnya bagus alami banget,February 2022,positif
"Saya ingin mengetahui cerita atau sejarah Sumber Sira, Siapakah yang harus saya temui untuk mendapatkan informasi tentang Sumber Sira?",February 2022,positif
Lumayan lah yakk 🤣🤣🤣 …,February 2022,netral
Sumber sira tmpate enak dan dingin,February 2022,positif
Selama pandemi ini enalnya siang kalo kesini karena masih sepi jadi lebih aman,February 2022,positif
Recommended banget buat yang ingin merasakan alaminya sumber air sekaligus berenang sepuasnya..,February 2022,positif
Kolam berair bersih 👍👍👍 …,February 2022,positif
Air segar murah.,February 2022,positif
"Keren tempatnya asri dan masih alami tiket murahh puoll wes pokok e area malang kalo belum pernah kesini harus kesini pokok e , gak bikin kantong mu kering ,segerr",February 2022,positif
Mantab untuk mancing di area sawah,February 2022,netral
"Bagus,makanannya ckp mcm2 harga pun murah,tiket msk jg murah meriah,airnya pun segar... pemandangan hijau indah...",February 2022,positif
Air jernih & seger,February 2022,positif
Sumber Sira di Sore hari,February 2022,netral
Airnya sangat jernih,February 2022,positif
Joss,February 2022,positif
Ok baik,February 2022,positif
"Asli jernih airnya, asli sumber airnya. pemandangan bawah airnya juga mantap, ada rumput-rumputnya dan beberapa ikan yang bisa dilihat dengan mata biasa saking jernihnya. tidak terlalu dalam dan ada sewa ban juga untuk santai-santai diatas …",February 2022,positif
"Salah satu lokasi yang wajib dikunjungi ketika berwisata ke Malang adalah Sumber Sira yang terletak di Putukrejo Gondanglegi.
Sumber Sira merupakan sebuah kolam dengan air yang sangat jernih yang berasal …",February 2022,positif
"Tempatnya bagus, mohon Harga tiketnya di 3000 saja.. jangan 5000 , dan kebersihan nya di tingkatkan",February 2022,positif
"Murah, jangan hari Minggu rame banget",February 2022,netral
"Murah, air bersih & segar",February 2022,positif
Untuk biaya sih termasuk murah meriah karna cuma 5k/org. Parkir speda 2k. Kolam/sumber juga bening. Sewa ban renang juga murah 6k aja. Rate makanan trmasuk murah. Tp pling banyak cuma mie instan atau pop mie. Klau bisa ada menu baru lagi. …,February 2022,positif
"Rehat sejenak bersama keluarga, sudah ada parkir baru",February 2022,netral
"Bagus banget, airnya jernih, bisa diving sambil lihat ikan2 didasarnya, banyak lumut ijo2 tapi justru itu icon wisata disini, view sawah seger banget mata memandang Maa Syaa Allaah. …",February 2022,positif
Murah meriah...,February 2022,netral
Tempat teduh dan banyak pemandangan disekitar yang masih asri,February 2022,positif
Mantap,February 2022,positif
"Sumber Sira  atau Sumber  Kepala Karena sumbernya  besar.  airnya jernih,  segar  dan  layak diminum langsung",February 2022,positif
"Ini tempatnya bagus, kl masih pagi sejuk bgt, tp pas udh siang jg ga terlalu panas, kolamnya bersih dan ada ikan kecilnya. Di sebelah kolamnya ada irigasi dan enak bgt buat main main dstu pake ban",February 2022,positif
"Sumber Sira yang berarti hulunya sumber di daerah Gondang Legi, sudah menjadi tempat wisata pemandian umum. Biasanya ramai pengunjung di Weekend. Tapi hari ini kami beruntung karena tidak terlalu ramai. Selain jernih airnya, salah satu yang …",February 2022,positif
Seger,February 2022,positif
"Wisata murah meriah, dengan tiket masuk Rp 5000/orang. Aman untuk anak kecil. Sumber air dingin dan bening, di kelilingi persawahan.",February 2022,positif
Enak seger,February 2022,positif
"perjalanan pemulihan lengkap... ramah, murah, fasilitas lengkap.",February 2022,netral
Tempat yg nyaman dan Asri...dngan biaya yg sangat murah....untuk bisa menikmati suasana Alam..,February 2022,positif
Mata air yang luar biasa! Bawalah googles atau snorkeling Anda untuk menikmati indahnya air biru di bawahnya yang penuh kehidupan!,February 2022,positif
Ada yang BAB bikin pemandangan fantastis.,February 2022,positif
OK aja. Letaknya jauh dari jalan utama. Dengan tiket 5k/masing-masing dan 3k untuk parkir motor. Tidak lebih penjual. Kolam renang alami sederhana. Jarak antara sumber air dan permukaan sangat dalam.  pemandangannya masih belum lengkap dengan beberapa bunga.,February 2022,negatif
"Begitu turun dari kendaraan, maka kolam yg berbentuk seperti danau akan terlihat. Dan Anda semua harus menuruni anak tangga yang lumayan banyak dan curam (tapi tidak semengerikan itu). Kolamnya hanya 1 seperti yg saya sebutkan tadi …",February 2022,positif
Mantapp,February 2022,positif
Tempatnya bersih dan tenang.... airnya jernih...,February 2022,positif
Bagus tapi sudah tidak sebagus dulu,February 2022,positif
"Tempatnya asri, sudah terkelola dengan baik, fasilitas sangat memadai",February 2022,positif
Joss,February 2022,positif
alam adalah cara yang baik untuk melepaskan diri dari kesibukan,February 2022,positif
"Sejuk, dekat persawahan (bukan ladang), jalan menuju mata air sangat menurun tajam sekitar 50-100 meter, ketika ke sini lebih baik gunakan sepeda motor, sebab jalan menuju lokasi kecil (kerepotan saat 2 mobil papasan), parkir bayar 2 ribu, airnya jernih, ada wahana bermain untuk anak-anak, ada toilet, ada pos pusat informasi,",February 2022,positif
Cocok untuk bersantai,February 2022,positif
Tempatx bagus tapi medanx cukup licin🙏🙏 …,February 2022,positif
Tempat nyaman buat rekreasi bareng bareng,February 2022,positif
Cukup murah dan bagus,February 2021,positif
Airnya jernih dan seger. Tiket parkir dan masuk murah meriah bgt.makan dan jualan juga murah..cocok liburan buat segala usia,February 2021,positif
Airnya suegeerrr..udh ada gasebo2..cm sayangx makanan diwarung2x krg variatif..,February 2021,netral
"Lumayan lahh, masuk 2 orang + 2 motor 14000
Cuman sampah di kolam sumber tolong dibersihin dong 😩 …",February 2021,positif
indah sekali dari dulu sampe sekarang,February 2021,positif
"Sangat kerennn... Gk usah di golek i riview ne, pecoyo ae... Apik poll 😁 …",February 2021,positif
Tempatnya asri alami dan airnya jernih,February 2021,positif
"Tempat wisata alam nyaman, murah, cocok jika membawa keluarga. Aman buat berenang.",February 2021,positif
Tempat nya sejuk.  Asik untuk wisata  air bersama keluarga.  Gak begitu jauh dari kota malang.  Tempatnya bersih,February 2021,positif
Itu benar,February 2021,netral
"Kesegaran alami
Gowes sehat ya ke sini👍👍 …",February 2021,positif
Sejuk dan teduh...🍃🍃 …,February 2021,positif
Tidak apa-apa,February 2021,netral
"Tempatnya asri dan rindang , sangat pas untuk santai, cuma tempat parkir yg lumayan jauh di atas tidak terlalu cocok untuk orang yg sudah lanjut usia",February 2021,positif
Tempat pemandian anak yg cukup teduh dan nyaman...  Masuk wilayah putukrejo gondanglegi malang sekitar 20km dari kota malang...  Murah meriah walau masih dlm proses pengembangan...,February 2021,positif
"Sumber Sira | 8 - 11 - 2020

Tempat wisata lokal yang masih dekat dengan kota Malang, sangat cocok jika …",February 2021,positif
Seru,February 2021,positif
"Pemandian yg masih alami,lumayan buat nyantai sama keluarga..tarif karcis 500 0 perorang, parkir mobil 10000.",February 2021,positif
"Tempat ini sangat menyenangkan untuk refresing terutama bersama teman, sahabat, dan atau keluarga sekalipun",February 2021,positif
"Tempat masih alami, murah n bagus banget",February 2021,positif
"Tempat yang cocok untuk rekreasi bersama keluarga/teman disaat liburan. Memiliki manajemen tempat yang cukup baik yakni area warung yang tertata dan higenis, harga masuk yang cukup wajar (5k) tetapi yang paling utama adalah area pemandian …",February 2021,positif
Di tambah wahana misal flyingfox makin yahuuuut atau wahana seluncuran,February 2021,netral
"Air nya jerni ,seger banget,,tapi tempat nya sedikit kurang nyaman",February 2021,negatif
Super,February 2021,positif
Jalannya rusak mohon segera di renov,February 2021,negatif
"Bagus, airnya jernih dan biaya masuknya pun murah",February 2021,positif
Bagus sih cuma masih kurang tertata apik... Semoga ke depannya lebih bagus...,February 2021,positif
Berenang menyenangkan,February 2021,positif
Alami airnya jernih n udaranya enak utk bernafas lega ...buruan cuzzzzzzz utk liburan yg murah meriah muntahhh🏃🏃🏃🏃💪💪💪💪🤗🤗🤗 …,February 2021,positif
"alami, airnya jernih",February 2021,positif
"Tempat rekreasi yang nyaman dan murah meriah. Akses jalan menuju lokasi mudah ditemukan, banyak penanda yang menuntun Anda kesana. Bisa dilalui R4 dan R2, kondisi jalan aspal. …",February 2021,positif
"Seneng banget
tempatnya luas buat renang asik...
Airnya masih alami jadi pengen balik main sana...
Baju juga makanannya murah murah",February 2021,positif
Masih banyak yg cuek dg kebersihan. Untuk pengelola tempat wisata Sumber Sira tolong lebih memperbanyak lagi tempat sampah/bisa dalam bentuk yg unik yg lebih memikat para pengunjung enggan buang sembarangan baik sampah organik/anOrganik. …,February 2021,positif
air jernih alami dari sumber mata air dingin yang segar,February 2021,positif
Mantap,February 2021,positif
Bagus tapi sayang kurang terpelihara,February 2021,negatif
"Tanah Kavling Harga 20 jutaan Kawasan Wisata Malang

HOT PROMO …",February 2021,positif
Bagus cuma belum maksimal penataannya ...,February 2021,positif
Bersama siswa MTs Alazhar Brongkal,February 2021,netral
Bagus,February 2021,positif
"Bagus, tapi sayang tanaman airnya udah gaada si kayaknya, htm nya juga cuma 12k untuk 2 orang dan 1 motor",February 2021,negatif
"Tamanx sdah bagus, hanya kolam pemandianx perlu d atur ulang",February 2021,positif
"Tempatnya enak bersih, kamar mandi dan kamar gantinya bersih",February 2021,positif
Tempat yg asik maen air bareng teman2 atau keluarga...dengan pemandangan yg juga bagus di kelilingi sawah2..airnya juga jernih,February 2021,positif
Bagus,February 2021,positif
Sumber airmu segar sekali...bagus,February 2021,positif
Bersih,February 2021,positif
Suka selai gaess..,February 2021,positif
Tempat yang bagus untuk bersantai bersama teman atau keluarga dengan tiket masuk yang terjangkau,February 2021,positif
Dari tahun ke tahun Tempat makin baik. Tempat istirahat mulai banyak dan luas. Hanya saja area berenangnya belum banyak perubahan dan karna hari sabtu minggu biasanya rame banget jadi area berenangnya terlalu penuh. …,February 2021,positif
Oke,February 2021,netral
Sejuk,February 2021,netral
tempatnya sangat menyegarkan,February 2021,netral
Lebih seringnya kesini cuman buat ngopi gak berenang tapi tetep harus bayar tiket..  Pernah liat ada pengunjung lain kehilangan helm disini tapi gak ada ganti rugi nya..  Soo..  Amankan barang kalian guys..  Meski ada tukang parkirnya gak jamin aman juga.. Happy hollyday..,February 2021,positif
Bagus,February 2021,positif
Suasana syahdu sekali... Air bersih dan dingiiiiiinn...,February 2021,positif
Air bagus dan pemandangan desa bagus,February 2021,positif
Jernih,February 2021,positif
Seger jg buat renang sejuk,February 2021,positif
"Air sumber alami,bersih belum tercemar bahan kimia...bersih",February 2021,positif
"tempat sejuk, asri, tiket masuk murah, tersedia musholla, dan kamar mandi yangbersih.",February 2021,positif
"Tempatnya kurang nyaman,airnya kotor banyak sampah plastik dan dedaunan,tempat ganti baju sempit",February 2021,negatif
"Tempat yang sangat indah, tanaman airnya khas.",February 2021,positif
Tambahkanmm,February 2021,netral
"Akses jalan dari jalan raya krebet gondanglegi, menuju lokasi wisata kurang lebih 2 km. Ada penunjuk jalan yang cukup membantu. Dijamin tidak akan tersesat. Dari area parkir kita akan menuruni jalan yang menurut saya cocok untuk kendaraan …",February 2021,positif
Tempat yang indah untuk melihat pemandangan desa yang dikelilingi sawah dan juga terdapat sumber air yang bisa digunakan untuk berenang. Tempat yang bagus untuk rekreasi keluarga.,February 2021,positif
Segar,February 2021,positif
"Nyaman untuk menghilangkan junuh dari rutinitas yang mengikat dan menyakitkan 🤣 .
Dengan harga yang relatif terjangkau, 5ripu untuk masuk setiap orang …",February 2021,positif
"Jernih sekali air nya,",February 2021,positif
Masih banyak kekurangan ya mengingat mmg masih tahap pengembangan..,February 2021,netral
"tempatnya sebenernya bagus sih buat ke lokasi juga sudah lebih mudah, but the thing is gaperlu lah sampe ada tulisan segede itu di tengah sumber, biarin tetep alami ajaa",February 2021,positif
seger,February 2021,positif
Cukup bagus...sarana mainan ada..... cocok untuk rekreasi keluarga... cuma perlu perawatan....😊 …,February 2021,positif
Wisata murah meriah & alam nya yg alami,February 2021,positif
mata airnya jernih dan bagus,February 2021,positif
"Tempatnya Sejuk, Hening Dan Alami Membuat Anak"" Senang, Banyak Mainanya Dan Banyak Warung"" Tertata Dengan Rapi, Disamping itu juga Penjualnya Ramah Dan Bersaudara. …",February 2021,positif
Bagus..,February 2021,positif
Tempat nya Bagus Cocok Untuk Relaxing Diri.Air nya Sangat Jernih Segar dan Mantap.Cocok Untuk Yang Hobi Petualangan Bisa Mampir Kesini Berendam Mantap.Tiket Masuk Murah Cuma 5000 Parkir 2000.,February 2021,positif
"buat yg suka berenang tapi gasuka kolam berkaporit, mendingan berenang di sumber sirah sini, udah paling cocok ini kalo buat yg suka air",February 2021,positif
Anak anak senang sampai ngak mau pulang,February 2021,positif
Airnya sangat segar,February 2021,positif
Sumber sira airnya sangat jernih di pagi hari. .. byurrrr. .. hemmmnnn segereeeee,February 2021,positif
Sangat bagus,February 2021,positif
Bagus sihh,February 2021,positif
Mantabh tempat nya 😃😻👌 …,February 2021,positif
"Akses jalan bagus, sempat bingung ada dua nama sumber sira dan sumber bureng ternyata dua nama untuk tempat yg sama, disarankan pakai kacamata renang karena pemandangan didalam air bagus banyak ikan-ikan kecil, airnya jernih dan ada tumbuhan hijau yg menambah keindahan dan daya tarik tempat ini",February 2021,positif
Bersih,February 2021,positif
Kereeen.....seperti namanya airnya jernih putih kebiruan,February 2021,positif
Mantap,February 2021,positif
"Ini tempatnya bagus, cocok untuk wisatawan yang membutuhkan relaksasi singkat dengan biaya murah",February 2021,positif
Mantab ilakes,February 2021,positif
"Bagus, tapi cuma bisa buat renang aja, gakbisa buat arung jeram seperti sumber maron...
Tapi tenang, ada taman yg cantik yg masih bisa menutupi kekurangan tsb.",February 2021,positif
Fasilitas sudah lebih lengkap,February 2021,netral
untuk menuai,February 2021,netral
Tempat wisata yang sangat murah dan menyenangkan.,February 2021,positif
Suegere rek...,February 2021,positif
"Airnya segar dari sumber alam, enak buat berenang, tubing dengan ban yang seru. Biaya masuk dan parkir murah meriah dan merakyat banget. Under 10 ribu lah. Banyak penjual makanan dan persewaan ban yg juga murah meriah. Tapi sensasi petualangannya gak kalah sama yg bayar mahal2",February 2021,positif
Seger banget airnya. Jangan lupa bawa kacamata renang agar bisa merasakan sensasi berenang di alam yang indah. Bawah airnya MasyaAllah. Berenang bareng ikan-ikan. Tiket masuknya hanya 5k looh.,February 2021,positif
Airnya seger udaranya sejuk,February 2021,netral
Sumber ini punya dua sebutan: Sumber Sira (menurut warga Putukrejo) dan Sumber Bureng (menurut warga Sumberjaya). Ada dua jalur terpisah untuk ke lokasi. …,February 2021,netral
Msh banyak yg perlu dibenahi dan ditambah lg unt spot² foto yg indah supaya mempunyai daya tarik. Tiket masuk sangat terjangkau.,February 2021,positif
Airnya jernihh,February 2021,positif
"Sejuk, hening dan cocok untuk berenang dan foto dibawah air. sekarang aksesnya sudah dipermudah, jadi gak perlu lewat kuburan lagi kalo kesini..., mantaap",February 2021,positif
Bagus sih cuman gak seperti yang dibayangkan di gambar google 😂😂😂 …,February 2021,positif
"Mata air alami jernih, enak buat renang",February 2021,positif
"Airnya lumayan bersih, tapi tanaman airnya sudah banyak yang hilang/rusak, airnya juga sedang surut, sehingga mungkin banyak tanaman yang tertendang atau terinjak sehingga tinggal sedikit saja di area belakang tulisan. Semoga pengunjung …",February 2021,negatif
"Tempat nyaman, orang2 ramah",February 2021,positif
Keren,February 2021,netral
"Tempat wisata sumber air yang bersih,suwejukk,suwegerrr, wuapikk poll",February 2021,positif
Tempat untuk berenang dari sumber alami👍👍 pokok e recommended wes😂 …,February 2021,positif
tempatnya sejuk banget...,February 2021,positif
Suejuk.. Terus tambah fasilitas biar tambah mantab...,February 2021,positif
"air nya bening dan hawa nya sejuk, cuma tempat duduknya tolong di perbanyak lagi, trims",February 2021,positif
airnya bening banget langsung dr mata air bawa pohon.....,February 2021,positif
Tempatnya adem sejuk bebas polusi. ... Cocok buat liburan bareng kluarga. Tiket murah airnya 100.%bening..mantapppp,February 2021,positif
Kebersihan perlu ditingkatkan,February 2021,positif
Karena tempat yang sangat menyenangkan waktu saya kecil dulu,February 2021,positif
"Tempat rekreasi murah dan juga asri..
Makanan dan minuman juga murah banget..
Recomanded lah buat yg suka wisata alam..",February 2021,positif
Keren tempatnya...,February 2021,positif
Taman air nya g di rawat,February 2021,netral
itu tempat yang sangat alami,February 2021,positif
"Airnya lumayan jernih, tapi perlu hati"" karena bagian tengah sumber kedalamnya cukup tinggi. …",February 2021,positif
Terdapat air yang jernih bagi habitat ikan dan untuk orang berenang,February 2021,positif
Bagus senang,February 2021,positif
"Seger, airnya jernih banget, adem pula tempatnya. Bikin betah lama lama disini",February 2021,positif
Kolam air yang jernih dengan pemandangan tumbuhan air dibawahnya.,February 2021,positif
airnya sangat bersih,February 2021,positif
Air nya bening dan segarrrr 🤩🤩 …,February 2021,positif
"Tempat wisata sumber sira ini recom banget buat tempat wisata keluarga. Dengan tiket masuk yang sangat murah, banyak angle untuk foto"" dan tempatnya teduh. Kebersihan nya pun terjaga dengan sangat baik.",February 2021,positif
"Sejuk, alami dan mulai lengkap fasilitasnya",February 2021,positif
"Asri banget, airnya jernih dgn debit sumber mata air yg besar",February 2021,positif
Tempat wisata alami hanya akses saja masih apa adanya,February 2021,positif
"Tempat wisata murah meriah di Kabupaten Malang, Airnya sangat jernih, semoga terjaga dan terawat dengan baik.",February 2021,positif
"Masih asri aja ,enak tempatnya adem banget❤",February 2021,positif
"Banyak perkembangan dari tempat pemandian ini 👍 tapi sayang nya rumput² hijau yg ada di dasar sumber sudah mulai hilang, pdahal dulu bagus buat foto di underwater …",February 2021,negatif
Semoga membantu,February 2021,positif
Bagus. Dan dingin,February 2021,positif
Biasa aja...,February 2021,netral
sumber alami..yg..penting..d..lestarikan..d.jaga..nikmati...buat smua warga...,February 2021,positif
Pemandangan luar biasa,February 2021,positif
Bagus pemandangannya dan airnya jernih,February 2021,positif
Udaranya sejuk airnya jernih dan dingin.. Kantin makanannya juga enak,February 2021,positif
pemandangan terbaik,February 2021,positif
Alam yg bersih,February 2021,positif
Masih sederhana,February 2021,netral
air jernih,February 2021,positif
enak tempat untuk bersantai,February 2021,positif
Keren buat mandi sore.,February 2021,positif
airnya jernih dan segarrrr..,February 2021,positif
Bagus.. wisata murah meriah,February 2021,positif
indah mempesona,February 2021,positif
Airnya sangat segar dan buat mancing juga mantap,February 2021,positif
Nyaman banget buat berenang,February 2021,positif
Sumber airnya walau kemarau tetap banyak. Tempatnya teduh dan agak curam kalau membawa sepeda angin bisa masuk sampai pinggir pemandian.,February 2021,netral
"Tempatnya nyaman untuk liburan keluarga, tpi aq pribadi suka klo pas sepi. Bebas bisa renang",February 2021,positif
Tempatnya sejuk Krn sumber mata air. Bisa unt mandi & bagus unt foto2 selfi,February 2021,positif
"tempat yg sangat bagus bisa buat trapi kulit mati,  karna ikannya seperti ikan gapi pemakan lumutt",February 2021,positif
Kemenangan yang lapang,February 2021,positif
"Air yang jernih.makanan dan barang""di situ serba murah.termasuk tiket masuk juga murah.",February 2021,positif
Pemandanganya asri. Sayang airnya agak kotor. Tempat buat duduk2 juga kurang,February 2021,negatif
Sebuah sumber alami yg bersih dan segar,February 2021,positif
"Hanya untuk mandi saja,",February 2021,netral
Udara Sejuk dan Air Alami yg Menyegarkan Untuk Berenang,February 2021,positif
Nyaman,February 2021,positif
"Tiket masuk hanya 5000 rupiah, parkir motor 3000, ban 5000. Air jernih dan segar cocok untuk anak-anak maupun dewasa. Sudah ada tempat pembelian pakaian renang dan alat-alat renang.",February 2021,positif
Mantab,February 2021,positif
Tempat rekreasi keluarga yg murah meriah,February 2021,netral
Senang,February 2021,positif
Sangat sejuk dan nyaman,February 2021,positif
Seru dan ramai pengunjung. Tiket murah,February 2021,positif
Tempat wisata alam yg mumer 👍👍 …,February 2021,positif
Tempatnya asri sejuk,February 2021,positif
Luar biasa,February 2021,positif
Asri,February 2021,netral
Wisata air murah dan nyaman sih ini 👍 …,February 2021,positif
pemandian alam sumbersira desa Putuktejo kecamatan Gondanglegi merupakan pemandian alami yg di bangaun Pihak Desa pada tahun 2016,February 2021,positif
"Tempatnya alami,segar. Aksesnya juga mudah. Bisa berenang juga.",February 2021,positif
"Tiketnya murah cuma 5k per orang, airnya jernih dan segar",February 2021,positif
Murah dan bersih,February 2021,positif
"Bagus, lumayab buat refreshing",February 2021,positif
air nya bening dan seger,February 2021,positif
Saya gowes ke sini... Terima kasih yah udah subscribe di YPWB Channel,February 2021,positif
Tatanan penjual tidak bagus kurang di tata,February 2021,negatif
Udara sejuk di pagi hari .tetap jaga kebersihan yaa sluurr .,February 2021,netral
"Masih tahap renovasi,kolam utama lumayan dalam.
Banyak tumbuhan ganggang air & ikan wader.",February 2021,positif
"Bagi yg pengen jauh dr hiruk pikuk kota untuk refresh pikiran biar ga penat wajib kesini, saya paling suka sumber disini dekat dengan sawah dan sungai, bosan di sumber tgl main ke sawah sama sungai 👍 …",February 2021,positif
Matahari terbenam,February 2021,netral
Suasana sejuk adem airsumber asli tidak membahayakan menyenangkanlingkungan masih alami,February 2021,positif
Sumber mata air Alami,February 2021,positif
Sangaaaak...,February 2021,netral
"Tempatnya nyaman..msih asri..
Hrg tiket juga murah meriah.. wajib dikunjungi gaess👍 …",February 2021,positif
Bagus banget airnya jernih pokoknya ayolah kesini juga murah tiket masuknya 3000.asri tempatnya,February 2021,positif
"Suasananya enak, sejuk dan bagus",February 2021,positif
Alami dan air nya jernih,February 2021,positif
Anying dikasih jalan lewat kuburan,February 2021,positif
air alami jernih,February 2021,positif
Airnya dingin. Bagus alami..,February 2021,netral
Tempatnya indah bangettt,February 2021,positif
Bagus banget sih recommended nih,February 2021,positif
Airnya jernih sekali dan dingin,February 2021,positif
Tambahkanmm,February 2021,netral
Sumbernya mantab jernih airnya mengalir deras,February 2021,positif
Fasilitas utk pengunjung lbh diperbaiki dan kebersihan lbh dijaga,February 2021,positif
Segar bgt airnya asli sumber,February 2021,positif
Menyegarkan,February 2021,netral
Cocok untuk liburan bersama keluarga dengan fasilitas yang lengkap,February 2021,netral
"seger, harga tiketnya juga murah... cocok buat piknik.",February 2021,positif
Gadang family,February 2021,netral
Tempat berenang yg menyenangkan jaga terus kejernihan air nya,February 2021,positif
"Tiket masuk yg ekonomis, kami berfoto dan jalan2. Mushola harus diperbaiki lagi.",February 2021,netral
Bagus buat wisata,February 2021,positif
Bening..,February 2021,netral
"This place is like a hidden paradise. The water is clearly visible so you can see the bottom. Natural aquascape I can call it, where fishes can live in harmony with nature. Probably one of the source of water to irrigate the rice field …",February 2021,positif
Kolam dengan air yg sangat segar alami,February 2021,positif
"Dipasang ginian ditengah sumber, bukanya jadi bagus tapi malah aneh -__-",February 2021,positif
Sudah berkembang baik lokasinya,February 2021,positif
Tempat yang bagus,February 2021,positif
"Semakin sepi semakin nyaman....kamar mandi tersedia,tmpat makan ada, persewaan ban dan celana untuk berenang juga ada.
Lokasi sumber berdekatan dengan persawahan",February 2021,positif
"Tempatnya adem dan bersih, sumber airnya seger. Banyak warung yg jualan camilan, gorengan panas sampe kopi panas. Rekomended kalo buat refreshing 👍👍 …",February 2021,positif
"Tempatnya bersih, airnya jernih,tiket masuk dan  makanan yg ada disana juga ramah kantong",February 2021,positif
"Mending kesini pas bukan weekend, rame banget soalnya. Aernya jadi butek soalnya pasirnya naik",February 2021,positif
Tempatnya nyaman dan bersih ☺,February 2021,positif
Tempatnya sangat asri udaranya sejuk,February 2021,positif
Sumber air yang jernih dan segar,February 2021,positif
Pemandian asli sumber murah meriah buat liburan kluarga,February 2021,positif
"Airnya jernih bgt, tempat favorit berenang",February 2021,positif
