wiI7pd,d4r55,rsqaWe,bulan_tahun
"Tempat yang sangat cocok untuk Healing melepas penat. Tempat nya Luas dan sangat asri dekat dengan persawahan, sehingga pemandangan Area hijau memanjakan mata. sumber Pemandian dengan ketinggian air sekitar 100-140cm Cocok untuk Olahraga …",Azhiez 87,2 tahun lalu,February 2023
Tuhan,Al An,2 tahun lalu,February 2023
"Sangat tenang, bersih tempat nya, ramah penjualnya, murah tiket nya, bening air nya ... Worth it banget kalo mau kesini, usahakan bawa ganti. Karena pasti ingin nyemplung kalo liat air e ...",Vajhaer,2 tahun lalu,February 2023
"Memang sih kaga heboh heboh banget, tapi dengan tiket seharga lima ribu untuk dewasa dan tiga ribu untuk anak-anak, kita bisa menikmati kolam alami yang buweniiing bingit, berenang bersama ikan-ikan ketcyil, anak-anak pasti suka.. …",El Harun Affandy (PQR),2 tahun lalu,February 2023
"Tempat sangat bagus, air juga bersih dan jernih banget, biaya masuk juga sangat murah, airnya seger banget... harus kesini pokoknya.",Akmal,2 tahun lalu,February 2023
air nya dingin banget,Abimanyu Anggara,2 tahun lalu,February 2023
"Airnya bening sekali, suasananya juga sejuk",monica christanti,2 tahun lalu,February 2023
"HTM: Rp 5.000/orang (parkir roda dua Rp 2.000). Sewa ban Rp 5.000.
Lebih asik datang sepagi mungkin karena belum ramai.",Zulaikha Librarian,2 tahun lalu,February 2023
"Airnya jernih, tempatnya asri adem ayem",Hani Bagus Firnanda,2 tahun lalu,February 2023
Air bersih alami dengan beberapa ikan kecil di dalamnya,SONKO SUF,2 tahun lalu,February 2023
Di kasi ramuan apa aja,Nur Chanifah,2 tahun lalu,February 2023
"Worth it banget, airnya jernih, segerrr gk terlalu dingin",Amirul Fathoni,2 tahun lalu,February 2023
Tempat keren,Fm Studio Art,2 tahun lalu,February 2023
Bening bangettt,Ihya Ahmad Takwa,2 tahun lalu,February 2023
Wisata wisata alami yg bagus utk healing dan refreshing 🥰🥰😘😘😘 …,andri kartiko,2 tahun lalu,February 2023
"Bagus banget, tiket masuk cuma 5ribu, air bening banget",Adzra Thafina Azzahra,2 tahun lalu,February 2023
Cukup Bersih,Kebun Bukit Tidar,2 tahun lalu,February 2023
"MasyaAllah, airnya bersih sejuk menenangkan, berenang oke banget, ada tempat makan dan minum, tersedia loker dan kamar mandi 👍💞 …",Yawes Dolan,2 tahun lalu,February 2023
"Wihhh tempatnya rame banget, Bener2 sumber alami buat berenang,Airnya jernih,Disekeliling banyak orang jual jajan2an,Baju2,Banyak deh..
Lahan parkir nya juga luas banget …",Amey Lia Nindyariani,2 tahun lalu,February 2023
Air segar dan super jernih,una ivan,2 tahun lalu,February 2023
Wisata alami. Murah. Menyenangkan buat keluarga,MR AXN ROF,2 tahun lalu,February 2023
Bagus,Muhamad Anas F.,2 tahun lalu,February 2023
Suasananya alami airnya bersih. Harga tiket masuk cuma 5000,Muhammad Alhamid Iyek,2 tahun lalu,February 2023
Tempatnya asri... Adem... air sumber jernih... banyak ikan kecil2 disini... gemes deh... syuukaa sekali...,Puput Shafa,2 tahun lalu,February 2023
Semoga terus terjaga keasrian alamnya,Blusukan Kuliner,2 tahun lalu,February 2023
view mantab untuk kita terutama keluarga,Mab malang,2 tahun lalu,February 2023
cukup menghibur dan melepas penat,Mohan Jaya,2 tahun lalu,February 2023
"Tempatnya enak, airnya bersih, bening dan segar. Namun sayang, masih ada orang yang tidak bertanggung jawab membuang sampah bekas jajan di kolam. Harusnya diberi papan larangan membawa makanan diarea kolam, agar kolam terjaga kualitas sumber airnya.",Adimas Putra Perkasa,2 tahun lalu,February 2023
Nitip foto az,Slamet Riyanto (Ryan),2 tahun lalu,February 2023
Kurang memuaskan. Kurang ada inovasi,Imam Tok,2 tahun lalu,February 2023
Flora pemandian nya bagus gaes.. Air nya dingin,Gerald Nicholai,2 tahun lalu,February 2023
Mantap,D3TL_ARIES KURNIA SANDY,2 tahun lalu,February 2023
Pengalaman habis mandi ruang ganti tidak tersedia ada taoi kurang jandi anti sangat lama,Hardy Ac,2 tahun lalu,February 2023
Tanaman bawah airnya banyak yang rusak,Ajeng Tyas,2 tahun lalu,February 2023
"Terlalu banyak pungli untuk warga sekitar, sumber airnya bagus",Ali Shiddiq,2 tahun lalu,February 2023
"Sejuk dan nyaman
Buat yang mau renang sangat rekomedasi
Jangan takut kelaparan karna disini juga ada warung makan jugaa",McDew,2 tahun lalu,February 2023
Kalau mnurut saya sih... Biasa aja..,Giri purbo wahyudi,2 tahun lalu,February 2023
"Adem, seger, jalan nya biasa aja bisa mobil dan motor.",Mauludina Aisah Pratiwi,2 tahun lalu,February 2023
"Bagus, sawahnya diperluas dan diubah menjadi kolam ikan, dan Anda bisa makan ikan bakar...",agus sutiono,2 tahun lalu,February 2023
Reservasi dan perbaikan kurang..tong sampah yg minim..klo soal air..bening bgt,GUSTHY Fa'ank,2 tahun lalu,February 2023
Sabi la buat temen nongkrong,M. ImronFasichullisan,2 tahun lalu,February 2023
"Segar sekali airnya, munkin perlu sedikit pemeliharaan dan penambahan wahana biar setiap tahun menarik wisatawan utk datang kesini",Rahino Hadi,2 tahun lalu,February 2023
Banyak yg langsung kerumah,Duin ocam,2 tahun lalu,February 2023
"air bersih langsung dari sumber. kolam masih alami, tak terlalu dalam, masih cukup aman, lokasi luas, parkiran aman, banyak warung murah",Ghozi Anshor,2 tahun lalu,February 2023
Luar biasa,Awiexa,2 tahun lalu,February 2023
"Seger banget, masih ada sampahnya si, dan jalan untuk menuju lokasinya kurang baik. Tetapi untuk pemandangan di bawah air nya bagus sekalii, kamar mandi nya bersih, harga tiket masuknya juga terjangkau.",Natanael Rudy,2 tahun lalu,February 2023
"Tempat wisata yg lumayan bagus,fasilitas lengkap,,airnya bersih dan jernih,anak2 suka di ajak berenang,tiket masuk murah,parkiran mobil luas,gak nyesel deh kalau kesini...",dedik setya junaedi,2 tahun lalu,February 2023
"Bagus , kalo di foto",Ajeng Arsanti,2 tahun lalu,February 2023
"Alternatif wisata renang yg murah meriah , airnya jernih viewnya bagus  dan tersedia aneka masakan murah dan enak",I One,2 tahun lalu,February 2023
"Tempat sejuk, seger, cocok buat refresing keluarga. Kebersihan masih kurang, banyak sampah sisa makanan di beberapa titik, terutama di bawah-bawah pohon.",Zulfikar Setiawan,2 tahun lalu,February 2023
Sumber air yang sangat jernih di Kabupaten Malang. Tempat wisata ini dikelola oleh desa dengan HTM 5.000/org. …,Pamuji Raharjo,2 tahun lalu,February 2023
"Suasananya sejuk. Pelayanannya ramah. Tiket masuk dan perlengkapan di sana murah. Banyak kamar mandi. Sumbernya segar dan bersih. Oh iya, banyak makanan juga. Murmer dan enak. Ke sini yak gengs kalau libur... Seru dan menyenangkan!",Mardha,2 tahun lalu,February 2023
Bagus,Alam Sakti,2 tahun lalu,February 2023
Kemenangan,Ery Wahyu29,2 tahun lalu,February 2023
"Tempatnya sejuk, ga terlalu luas, ada sawah. Tidak terlalu ramai seperti dulu. Mudah dijangkau, di kabupaten malang. Air lumayan jernih dan dingin. Ada warung-warung makan.",Firda Ely,2 tahun lalu,February 2023
Mangap,Panji Nur Muhammad Sholih,2 tahun lalu,February 2023
"Bagis airnya bening asri banget tempatnya .,persis di belakang rumah mertua saya kalo pas ke malang pasti mampir",Lina Mardiana,2 tahun lalu,February 2023
Mantap,Day yat,2 tahun lalu,February 2023
Mantab asri banget,noer saliem,2 tahun lalu,February 2023
"kudanan, nyaman ✌",Panitia_Rifqy Dwinoviansyah,2 tahun lalu,February 2023
Saya tidak bisa mengambil foto ini,andi pramudia,2 tahun lalu,February 2023
"Mandi di sungai dengan air yang bersih pasti menyegarkan di siang hari di kala panas menyengat, apalagi di temani sahabat dan kerabat. …",Sari Fatmawati,2 tahun lalu,February 2023
Airnya sangat jernih...cocok untuk mandi bersama,Mans,2 tahun lalu,February 2023
Tempat Rekreasi Dan Mancing 🎣 …,Novriz Gaming,2 tahun lalu,February 2023
"Khas sumber alami, pepohonan rindang dekat sumber
Murah meriah
Bening sehat …",achmad riza firmansyah SE,2 tahun lalu,February 2023
"Dulu Jalanya Masih Tanah , Sekarang sudah di Beton , jadi lebih nyaman pengunjung yg datang",Pasukan Armada Malang,2 tahun lalu,February 2023
Airnya jd kotor gara gara ada yg main d rumput air,Muh Fachrus Saifudin (FAKrus),2 tahun lalu,February 2023
Penjaga loket wanita tua yang tidak punya tata krama dan suaminya yang sedikit sedikit sedikit menggunakan kekerasan,irfan gaming,2 tahun lalu,February 2023
Bagusan tulisan pas di blkg tahun 2018,Yam Yuna,2 tahun lalu,February 2023
Air yang jernih dan sweger...,Andika Pras,2 tahun lalu,February 2023
Ini sangat keren ....,inoel leoni,2 tahun lalu,February 2023
"Mantap airnya jernih sekali, tiket masuk murah dan bersahabat, untuk kedalaman relatif, ada sisi yg mungkin gk seberapa dlm, dan ada yg dlm kemungkinan 2 meter an. Tergntung debit air juga.",Novando Raka,2 tahun lalu,February 2023
Lumayan buat healing.. mmng kurang tertata dan kebersihannya kurang diperhatikan. So far murah dan kolamnya seger,Ireng Santi,2 tahun lalu,February 2023
"Tempat enak, yg jelas sih tempat renang kwkwkwk, untuk parkiran luas, harga makanan/minuman rata"" murah, cuman mending bawa bekal biar hemat",Z1dan Rahmat Ramadhani,2 tahun lalu,February 2023
"jernih airnya dn syeger. toilet bersih. jalan dr parkiran ke sumber menurun dn utk orang tua (lansia) mgkn agak sulit dn hrs berhati2 terutama saat musim hujan akan licin jalannya. kedalam bervariasi dn yg gk bs renang hati2 ya, saya lupa …",BintangdiLangit,2 tahun lalu,February 2023
Tempatnya bagus hanya dasarnya batu penuh lumut jadi kalau di injak menakutkan,Sarengat Jemur,2 tahun lalu,February 2023
Semakin bagus.,akbar kurnia,2 tahun lalu,February 2023
Tempat berenang murah meriah,Kang Sandy,2 tahun lalu,February 2023
Berkali kali kesini ❤❤❤,dindadesi rudhoh,2 tahun lalu,February 2023
tempat yang cocok untuk ngopi dan makan pop mie di pinggiran sumber,afandi yuli,2 tahun lalu,February 2023
"Tempatnya sangat nyaman n mudah di jangkau.
Airnya dari sumber yg bersih n pemandangan sekitarnya jg indah",Maria Benedicta,2 tahun lalu,February 2023
"Air dingin segar dengan pemandangan persawahan
Cocok untuk mendingankan pikiran
Apa lagi kalo datengnya pagi",Fidin Adis,2 tahun lalu,February 2023
Increasingly sumber sira😘 …,Horidatul Holiyah,2 tahun lalu,February 2023
Lumayan... Parkir mobil 5rb tiket masuk 5rb. Bnyak ikan wader e... Ad tulisan dlarang mancing tp tetep d pancingi anak2.😄 …,ilmukaton,2 tahun lalu,February 2023
Kesini setelah lihat video niko channel.,indONEsia channel,2 tahun lalu,February 2023
"Airnya super jernih
Tumbuhan dasar danau sangat indah",teguh wijayadi,2 tahun lalu,February 2023
Sumbersira merupakan wisata alam yg nerada di kec gondanglegi.kolam yg indah dan bersih salah satu yg membikin kita nyaman pada saat berlibur..,Ade Candra,2 tahun lalu,February 2023
"Adem banget, menyenangkan, air sangat jernih, ditambah dengan berkeliaran nya ikan - ikan lepas, semakin menambah keindahan alam, makanan ringan sangat murah sekali",Khoirun Nisa',2 tahun lalu,February 2023
"Bersih, nyaman, adem juga, airnya juga masih terjaga dan masih alami. Biaya masuk cuma 5k/orang, parkir juga cuma 2k, kalau bawa mobil juga bisa. Ada tempat ganti baju, lesehan/warung2 yg tertata bersih.",Muhammad Roni,2 tahun lalu,February 2023
Bagus banget,JANNATUL FIRDAUSIYAH,2 tahun lalu,February 2023
Segeerre.... airnya bening dan menyehatkan,zhoeghenk bikevlog,2 tahun lalu,February 2023
Bagua tempatnya. Cuma sempet bingung pintu masuknya.,Saja Tada,3 tahun lalu,February 2022
Jernih sekali airnya sumber sira,Depp Depp,3 tahun lalu,February 2022
Cocok utk berendam,Made Mantap,3 tahun lalu,February 2022
Bagus banyak airnya 😀😀😀 …,Richie Prasetya Nugraha,3 tahun lalu,February 2022
"Lumayan..sempat tertarik sambal tempe pengunjung lain dan ngomong sama istri saya...,tahunya yg punya denger dan nawarin makan...,jadi malu..",agoes sugiantoro,3 tahun lalu,February 2022
"Wisata air alami & terjangkau , cocok untuk keluarga",Chatur Widodo,3 tahun lalu,February 2022
Bagus 👍 …,Aditya Wardani,3 tahun lalu,February 2022
Tempat pemandian yg sering dikunjungi goweser. Tiket masuk yg murmer. Fasilitas cukup lengkap.,fajar cansa,3 tahun lalu,February 2022
Tempat ngadem cocok untuk menghilangkan kepenatan setelah capek sepekan bekerja,Permadi Wiratmoko,3 tahun lalu,February 2022
"Pemandian alam sumber sira, aksesnya mudah.
Tiket masuk 5.000
ada warung dan juga kamar mandi/ kamar ganti.",Ivan Permana,3 tahun lalu,February 2022
Tempat nya nyaman,unik_ official,3 tahun lalu,February 2022
Mantap bgt wisatanya.,Tri Wahono,3 tahun lalu,February 2022
"Airnya jernih air sumber
Cocok buat latihan snorkling dan lebih kerennya banyak ikannya kolamnya besar pula",Seneng Dolan,3 tahun lalu,February 2022
Airnya jernih sejernih kaca dingin dan segerr banget..,rohim ramadhan,3 tahun lalu,February 2022
Adem,penangkal tikus,3 tahun lalu,February 2022
"Ini yg kelihatan sederhana tapi menyenangkan, sungguh..",Alberto Simarmata,3 tahun lalu,February 2022
Tiket nya murah banget,Muhammad Arridlo,3 tahun lalu,February 2022
"enak untuk berenang dan menyelam, airnya jernih, jangan lupa pake waterproof hape untuk selfie di dalam air(di lokasi banyak yang jual)",syifa abror,3 tahun lalu,February 2022
"Airnya bening, hawa-hawa pedesaan masih kerasa banget. Apalagi tiket masuknya murah banget.",Siti Azizah,3 tahun lalu,February 2022
"wisata alam yang alami dan asri
dengan sumber air yang segar, ganggang dalam air yang tidak ada duanya.",Marco Avid,3 tahun lalu,February 2022
tempat yang bagus untuk tempat fto di aer,herman s,3 tahun lalu,February 2022
"Area healing yang sangat terjangkau, dengan suhu air yang dingin meski  masih bisa dikelola secara lebih profesional lagi. Dengan tiket masuk yang sebegitu murah sulit memang kalau menuntut lebih. Sehingga tampak kalau kualitas sarana …",Saputra Tri Kurniawan,3 tahun lalu,February 2022
Rekreasi keluarga murah meriah,Djadik Distya Chandra Rizqi (Djhon Miran),3 tahun lalu,February 2022
Sangat indah untuk bermain berenang,Isa Firmansyah,3 tahun lalu,February 2022
"Wisata alam recomomended, air nya bening",Umma Ilma,3 tahun lalu,February 2022
"tmptnya bersih, airnya bersih, dan kantinnya teratur dan bersih unt parkirnya klau aku agak kemahalan 10 rb padahal karcis masuknya cm 5 rb",Dwi Retno,3 tahun lalu,February 2022
"Sumber air sangat jernih, tidak terlalu dalam / dangkal, fasilitas lengkap, tidak jauh dari jalan utama,",Farishall Sastra,3 tahun lalu,February 2022
"Tempat yang bagus banget buat healing, apalagi airnya jernih sensasinya kayak diving tapi di sungai gitu... pinggiran nya sawah² apalagi pas padinya menguning indah banget diliatnya …",Latifatuz Zahro,3 tahun lalu,February 2022
"Tempat wisata air alami yang murah meriah di kabupaten Malang, lokasinya di kecamatan Gondanglegi...
Harga tiket masuk Rp 5.000,- /orang. parkir motor Rp.2.000,- mobil Rp . 10.000,- …",iin_ Fatimah,3 tahun lalu,February 2022
Fasilitas kurang diperhatikan gazebo se akan di persewa kan bagai milik pribadi tidak bisa untk bergantian,Gansis urang soebank,3 tahun lalu,February 2022
"Banyak orang, airnya bersih, ada persewaan ban kecil dan besar yang murah, ada pusat kuliner untuk makan.",Alif Rizky,3 tahun lalu,February 2022
Lumayan buat mengisi liburan,Gunawan Motor,3 tahun lalu,February 2022
Tempat Santai suasana asri,Jodi Setiawan,3 tahun lalu,February 2022
"cantikkk bgt biota airnyaaaa. ada tumbuhan, ikan"" kecil, bebatuan, pasirnya lembut. ekosistemnya bagus bgt terawat. tempatnya asri masih serba hijau dan gaada sampah. cuma sayangnya rame bgt pas kesana jd krg menikmati.",Fita Amalia,3 tahun lalu,February 2022
Wisata menarik murah meria,Pilihmld Mld,3 tahun lalu,February 2022
Bagus tempatnya,imam bukhori,3 tahun lalu,February 2022
"tempat yang sangat bagus untuk penyembuhan...airnya jernih tempatnya sejuk,apalagi ada pemandangan bawah laut yang sangat indah..recomended banget buat yang mau belajar berenang...anak kecil pun bisa kesini.. . sudah yang terbaik.. kamu tidak akan menyesalinya",Rohmatul Azizah,3 tahun lalu,February 2022
Sejuk rindang enak,Agus Sujiyanto,3 tahun lalu,February 2022
"Alhamdulillah sumber bersih , makanan lumayan murah meriah , tiket masuh juga murah , pelayanan dan kebersihan juga bagus",ASROFI ALFATHGROUP99,3 tahun lalu,February 2022
Tempat yang indah.,humbl. design,3 tahun lalu,February 2022
Disana itu sangat menyenangkan,Kharisma nur Siti r.,3 tahun lalu,February 2022
Asri airnya segar nyaman alami,joe editing,3 tahun lalu,February 2022
👍 …,Suro Wiroaji (Untung),3 tahun lalu,February 2022
Bagus cuman ada sedikit sampah plastik yg ada di dalam kolam membuat kotor air yg begitu jernih,M ZAINUL ARIFIN,3 tahun lalu,February 2022
Tujuan keluarga untuk menghabiskan liburan,Fajar Shidqi,3 tahun lalu,February 2022
JJ,Lailatul Fitriyah,3 tahun lalu,February 2022
airnya sangat dingin sekali enak banget pas renang siang hari bikin betah lama lama disini,mas ahmad,3 tahun lalu,February 2022
Cocok buat rekreasi segala umur,Romy Bilahenk,3 tahun lalu,February 2022
Sersan,Rizky Kiky,3 tahun lalu,February 2022
"Akses dari kota malang cukup mudah, namun akses jalan menuju lokasi cukup sempit & sedikit rusak. Kedalaman air cukup bervariasi, tapi masih terbilang cetek. Sekitar 1 meter an.",Ircham Manthof,3 tahun lalu,February 2022
Oke,Yusril Marzuq,3 tahun lalu,February 2022
"Luar biasa, direkomendasikan untuk menyegarkan",Uulul Azmi,3 tahun lalu,February 2022
Penataan mulai bagus,Cak Nawi,3 tahun lalu,February 2022
Joss,Adin Rahman,3 tahun lalu,February 2022
Senang sich..cm wktu itu masih bnyak tempat wisata yg masih tutup.☹️,Indra Wati,3 tahun lalu,February 2022
"Tempatnya tutup tapi googlenya nggk di update, udah jauh jauh dateng malah tutup.",Wahyu Dita,3 tahun lalu,February 2022
Sumber air Bagus disekitarnya banyak sawah,S A L M A N,3 tahun lalu,February 2022
Aku tidak benci aku suka,May Yuka,3 tahun lalu,February 2022
Harus lebih dijaga,Hendra Setya,3 tahun lalu,February 2022
GPS keterangan buka sampe sama suruh balik karena tutup total padahal jauh² datang,lidya yuand,3 tahun lalu,February 2022
Mantap,Teknik 234,3 tahun lalu,February 2022
Sudah bagus sih biaya terjangkau,BAGUS ISMANTO,3 tahun lalu,February 2022
Tempat yang asik tapi sayang masih tutup,rendy frmn,3 tahun lalu,February 2022
Buruk,MZ Arsyad,3 tahun lalu,February 2022
Tempatnya sejuk dan kolamnya jernih,Khamid,3 tahun lalu,February 2022
Pemandangan alam yg masih asri🌿🌿🌿 …,Ayu Nilasari,3 tahun lalu,February 2022
Pelayanan mwantabb,Ilham Machdi,3 tahun lalu,February 2022
"Airnya jernih, hanya spot foto kurang...",Keanokids,3 tahun lalu,February 2022
Pemandian alami dengan sumber air yang  jernih,keluarga yefi,3 tahun lalu,February 2022
"Asyik buat refresing...
Murah banget HTM nya...",N.Savitra Hezam,3 tahun lalu,February 2022
"Zonk.. di Google Maps tertulis buka, waktu kesana Tutup Totalnya gara-gara pandemi. Harus lebih update lah. Kasian jauh kesini taunya tutup.. kurang profesional",Donny Fernando,3 tahun lalu,February 2022
"air jernih banget,cuman dasar kolam bebatuan agak tajam2,sewa ban kehabisan, air gak begitu dingin, view istimewa",Badar FM,3 tahun lalu,February 2022
"Tempat nya sejuk, air nya jernih, harga makanan murah meriah, pedagang nya jg ramah2. Kalau beli makanan yg di dalam jangan di luar, karena kalau di luar dekat parkiran ngentol harga. Jempol 4 buat tmpat ini.",Luluk Budiarti,3 tahun lalu,February 2022
mantap .. tempatnya enak,amenk 07,3 tahun lalu,February 2022
Sesuai ekspektasi,36 Yuniar Tria,3 tahun lalu,February 2022
"Tempat rekreasi yang menyenangkan, tiket masuk 5000 perorang dan parkir motor 2000. Worth it",Diti Iftitah Anggraeni,3 tahun lalu,February 2022
"Air nya jernih bgt, seger",Alifia Maulani Ifada,3 tahun lalu,February 2022
Sumber sirah salah satu destinasi wisata yang cukup murah dan akses mudah.,fais U,3 tahun lalu,February 2022
"Bagus banget😍
Jernih banget airnya rekomended murah pol😂 …",Alfina Damayanti,3 tahun lalu,February 2022
Jang salto dari atas ya....d dasar kolam banyak batu...airnya jernih sekali...bersih minim sampah,Nuriyah,3 tahun lalu,February 2022
"Asri,sejuk,murah,...
Spot foto bagus.",Febryantos B (BF),3 tahun lalu,February 2022
"Lumayan nyaman, airnya juga lumayan bersih. Cocok buat liburan bareng keluarga",mashudi irwan,3 tahun lalu,February 2022
Selamat menikmati slulupp,Padantya Rama,3 tahun lalu,February 2022
Merupakan sifat yang sangat baik untuk mengisi ulang diri kita sendiri. Berenang di sini pada pagi hari akan memberi Anda energi baru.,Galih Adi Putra,3 tahun lalu,February 2022
"Wisata sumber sira, merupakan Wisata yang banyak diminati oleh banyak pengunjung mulai dari anak-anak, remaja dan dewasa, tempatnya enak, nyaman,bersih, Adem,Alami, airnya juga jernih dan sangat Alami dari sumber yang sangat bagus dan besar.",Saifulloh Nia,3 tahun lalu,February 2022
kurang puas soalnya kotor dn bnyak bebatuan tajam.. tetap waspada sobat..,exelia feronn,3 tahun lalu,February 2022
"tersedia warung makan dengan harga terjangkau,,,tempat mandi  anak juga ada,,,tempat mudah dijangkau,,berada diarea dekat persawahan,,cocok untuk yang suka berfoto foto,,,",Mawan wawris,3 tahun lalu,February 2022
"Biaya masuk 5000/orang dan biaya parkir 2000/orang, murah meriah dan cocok untuk wisata bersama keluarga.Airnya segar, bersih, dan banyak ikannya. Ada juga spot foto di tanaman air, tapi rawan rusak kalau tidak hati-hati. Mungkin bisa …",M. Ma'danil Fawaid,3 tahun lalu,February 2022
Bagus,atom baidhowi,3 tahun lalu,February 2022
"Sekarang buka nggak ya, kangen lama nggak kesana",Tia Ayuningsih,3 tahun lalu,February 2022
Jalurnya luarbiasa,Fahrur Roziki,3 tahun lalu,February 2022
"Air sangat segar dan jernih, recomended 👍 …",Muhammad Syamsudin Aminnurochman,3 tahun lalu,February 2022
Tempat yang cocok untuk berlibur keluarga,Zainab Nashr,3 tahun lalu,February 2022
Segar,Thania Julian,3 tahun lalu,February 2022
mata air bening,udhi pangarsa,3 tahun lalu,February 2022
"Tempat nya enak buat refresh pikiran, buat berenang juga airnya segar. Hanya kudu hati2 pas berenang krn batu/karang di dasar licin.
Untuk akses jalannya mudah ditemukan dg gmaps. …",Ade Mita Palupi,3 tahun lalu,February 2022
"Rindang dan airnya dingin, sudah banyak taman2 dan gasebo2, bisa sewa ban utk brenang
Ada tanaman airnya cocok utk foto2 underwater",wanodya kharisma paramita,3 tahun lalu,February 2022
cocok untuk foto bawah air,nizar mughni,3 tahun lalu,February 2022
kakak ipar gay 👀 …,Thoriqul Khoiri,3 tahun lalu,February 2022
kemenangan,Zavicha vnd,3 tahun lalu,February 2022
"Harga tiketnya murah meriah, tempatnya luas, ada mainannya juga, terus ada yang jualan makanan ❤️",Fitri Fauziah,3 tahun lalu,February 2022
Menyenangkan bisa berenang di kolam sumber mata air langsung.,Enak Echo,3 tahun lalu,February 2022
Bersih keren,akhmad wardoyo,3 tahun lalu,February 2022
"Tempatnya asri, bagus, tiket juga murah",Lutfi Siti Khadijah,3 tahun lalu,February 2022
"Air sumber.murah, dekat sawah. Kamar mandi banyak.",Niar Za,3 tahun lalu,February 2022
"Bagus, keren, rekomendasi banget.",Amsa Mulia,3 tahun lalu,February 2022
"Murah meriah, bagus buat spot snorkling",Faisal 1999,3 tahun lalu,February 2022
"Tempatnya bs dibilang ckp apik , tiket masuk murah tp sayangnya ketika saya kesana klo saya gk salah liat disekitar tmpt parkir ada tmpt pembakaran sampah.Nah asap dr pembakaran itu membuat udara di sekitar pemandian jadi tercemar.",Sri Widiastuti,3 tahun lalu,February 2022
Tempat yang indah dan sejuk,Culture Creative,3 tahun lalu,February 2022
"Wenak le...., sejuk alamy sekaly...., pengen nyemplung tapi gk bawa ganti...wkwkwkwk, payah...",My VW,3 tahun lalu,February 2022
Kereen,Fitrianto Channel,3 tahun lalu,February 2022
"Mari berbahagia, lihat saja!!",Arista Perdana,3 tahun lalu,February 2022
"Air bening saat sepi, enaknya berkunjung pagi.",Rolif Refo,3 tahun lalu,February 2022
Murce sekali,OLIVIA NADYA SAFIANITA,3 tahun lalu,February 2022
Bagus,Elvira Maulida,3 tahun lalu,February 2022
"mantep seger asik, tapi gua saranin lu bawa gopro, soalnya foto luarnya biasa aja cuma kalo nyelem dalam air ada rumput yang bagus buat foto, atau video",Solex (Muhammad Sholehuddin),3 tahun lalu,February 2022
Bagus tempatnya cocok buat refresing,Suseno Seno,3 tahun lalu,February 2022
Wisata alam sumbersira lumayan bagus untuk yang sedang ingin menikmati nuansa alam. Ditmbah sumber air yang jernih membuat badan menjadi segar. Untuk tiketnya dewasa 5k dan anak kecil 3k. Parkir 4k.,Sabrina Ainun,3 tahun lalu,February 2022
Jernih dan segar,Eko Mustiyono,3 tahun lalu,February 2022
Tempat yang sejuk nyaman asri dan bagi yang suka berenang sangat cocok sekali,Anas San sana,3 tahun lalu,February 2022
Murah meriah,setyo suko,3 tahun lalu,February 2022
Lumayan. Bagus sayang kurang nya tempat duduk...ato Gasebo. Jadi bingung kalo nyantai ato duduk...masalah lainnya bagus..tiketnya pun murah 5 rb..parkir 3 RB..jadi meria lah😀😀😀 …,Agus Lukito,3 tahun lalu,February 2022
"Mantap buat salto"" bosku,cuman hati"" banyak batunya 🤭😁 …",Ojik 87,3 tahun lalu,February 2022
"Bagus, nyaman, airnya jernih dan segar, kedalaman 1 sampai 1,5 m",Eko Mustiyono,3 tahun lalu,February 2022
Di jamin endues..,Udien Aylla,3 tahun lalu,February 2022
Asyik buat main air,Mus Mulyanto,3 tahun lalu,February 2022
Terpesona melihat pemandangan disana,GUSTI jebblez,3 tahun lalu,February 2022
Sumber air alami,rama lobas,3 tahun lalu,February 2022
"Tempat alami sumber air besar,dan tiket murah",Pagon Setiawan,3 tahun lalu,February 2022
"Masih alami ,mungkin perlu fasilitas utk bermain kolam utk anak",Moh As'ud,3 tahun lalu,February 2022
lumayan,Abdul Rachman,3 tahun lalu,February 2022
"Tempat rekreasi murah meriah berlatar belakang wahana alam. Yaitu kolam renang alami yg airnya berasal dari sumber. Di kelilingi persawahan yang luas, tempat ini sangat bernuansa pedesaan, asri dan sejuk.",Bandot Bendot,3 tahun lalu,February 2022
"seger, aksesnya cukup mudah, tiketnya murah",Fajrin Hazmi,3 tahun lalu,February 2022
"Cukup jernih, lumayan ramai pas weekday, apalagi pas weekend. Beberapa spot bagus buat foto terutama spot ganggang. Harga tarif masuk 5 ribu, parkir 3 ribu, sewa ban 2-5 ribu, ada fasilitas bilas berbayar dan kuliner juga.",Praend Adidarma,3 tahun lalu,February 2022
Kalau tidak ada foto kurang jelas lokasi detail,Areef Chiken,3 tahun lalu,February 2022
Sejuk,Antoluth Karya,3 tahun lalu,February 2022
Air sumber alam asli.....suip,yanu rahmad,3 tahun lalu,February 2022
Lokasi nyaman.,Ongky Alek Sandra,3 tahun lalu,February 2022
Sumber mata air yg juernih dan menyegarkan mata dan badan.,Iqbal Amirulloh,3 tahun lalu,February 2022
Sipp,Deni dian,3 tahun lalu,February 2022
"Bagus, tempatnya bersih. Hindari hari libur untuk orang-orang yang tidak suka keramaian atau yg mau ngambil foto aestetic",Azis Mde,3 tahun lalu,February 2022
Kemenangan,Hidayat Saifullah,3 tahun lalu,February 2022
