wiI7pd,ulasan_clean,ulasan_normalisasi,ulasan_tokenizing,ulasan_stopwords,ulasan_stemming,ulasan_translate
Airnya jernih dan seger. Tiket parkir dan masuk murah meriah bgt.makan dan jualan juga murah..cocok liburan buat segala usia,airnya jernih dan seger tiket parkir dan masuk murah meriah bgtmakan dan jualan juga murahcocok liburan buat segala usia,airnya jernih dan segar tiket parkir dan masuk murah meriah sangat makan dan jualan juga murah cocok liburan untuk segala usia,"['airnya', 'jernih', 'dan', 'segar', 'tiket', 'parkir', 'dan', 'masuk', 'murah', 'meriah', 'sangat', 'makan', 'dan', 'jualan', 'juga', 'murah', 'cocok', 'liburan', 'untuk', 'segala', 'usia']","['airnya', 'jernih', 'segar', 'tiket', 'parkir', 'masuk', 'murah', 'meriah', 'makan', 'jualan', 'murah', 'cocok', 'liburan', 'usia']",air jernih segar tiket parkir masuk murah riah makan jual murah cocok libur usia,"The water is clear and fresh parking tickets and cheap entering, very festive and selling is also cheap, suitable for all ages"
Airnya suegeerrr..udh ada gasebo2..cm sayangx makanan diwarung2x krg variatif..,airnya suegeerrrudh ada gasebocm sayangx makanan diwarungx krg variatif,airnya segar sudah ada gazebo cuma sayangnya makanan diwarungnya kurang variatif,"['airnya', 'segar', 'sudah', 'ada', 'gazebo', 'cuma', 'sayangnya', 'makanan', 'diwarungnya', 'kurang', 'variatif']","['airnya', 'segar', 'gazebo', 'sayangnya', 'makanan', 'diwarungnya', 'variatif']",air segar gazebo sayang makan warung variatif,"The water is fresh, there is a gazebo, unfortunately the food in the stalls is less varied"
"Lumayan lahh, masuk 2 orang + 2 motor 14000
Cuman sampah di kolam sumber tolong dibersihin dong 😩 …",lumayan lahh masuk orang motor cuman sampah di kolam sumber tolong dibersihin dong,lumayan masuk orang motor cuma sampah kolam sumber tolong dibersihin,"['lumayan', 'masuk', 'orang', 'motor', 'cuma', 'sampah', 'kolam', 'sumber', 'tolong', 'dibersihin']","['lumayan', 'masuk', 'orang', 'motor', 'sampah', 'kolam', 'sumber', 'tolong', 'dibersihin']",lumayan masuk orang motor sampah kolam sumber tolong dibersihin,pretty good to enter motorbike people only pond source ponds please clean
indah sekali dari dulu sampe sekarang,indah sekali dari dulu sampe sekarang,indah sekali dari dulu sampai sekarang,"['indah', 'sekali', 'dari', 'dulu', 'sampai', 'sekarang']",['indah'],indah,very beautiful from the past until now
"Sangat kerennn... Gk usah di golek i riview ne, pecoyo ae... Apik poll 😁 …",sangat kerennn gk usah di golek riview ne pecoyo ae apik poll,sangat keren tidak usah golek review percaya bagus sangat,"['sangat', 'keren', 'tidak', 'usah', 'golek', 'review', 'percaya', 'bagus', 'sangat']","['keren', 'golek', 'review', 'percaya', 'bagus']",keren golek review percaya bagus,Very cool don't need to go golek reviews really good believe
Tempatnya asri alami dan airnya jernih,tempatnya asri alami dan airnya jernih,tempatnya asri alami dan airnya jernih,"['tempatnya', 'asri', 'alami', 'dan', 'airnya', 'jernih']","['tempatnya', 'asri', 'alami', 'airnya', 'jernih']",tempat asri alami air jernih,The place is beautiful natural and the water is clear
"Tempat wisata alam nyaman, murah, cocok jika membawa keluarga. Aman buat berenang.",tempat wisata alam nyaman murah cocok jika membawa keluarga aman buat berenang,tempat wisata alam nyaman murah cocok jika membawa keluarga aman untuk berenang,"['tempat', 'wisata', 'alam', 'nyaman', 'murah', 'cocok', 'jika', 'membawa', 'keluarga', 'aman', 'untuk', 'berenang']","['wisata', 'alam', 'nyaman', 'murah', 'cocok', 'membawa', 'keluarga', 'aman', 'berenang']",wisata alam nyaman murah cocok bawa keluarga aman renang,Cheap comfortable natural attractions are suitable if they bring families safe for swimming
Tempat nya sejuk.  Asik untuk wisata  air bersama keluarga.  Gak begitu jauh dari kota malang.  Tempatnya bersih,tempat nya sejuk asik untuk wisata air bersama keluarga gak begitu jauh dari kota malang tempatnya bersih,tempat sejuk seru untuk wisata air bersama keluarga tidak begitu jauh dari kota malang tempatnya bersih,"['tempat', 'sejuk', 'seru', 'untuk', 'wisata', 'air', 'bersama', 'keluarga', 'tidak', 'begitu', 'jauh', 'dari', 'kota', 'malang', 'tempatnya', 'bersih']","['sejuk', 'seru', 'wisata', 'air', 'keluarga', 'kota', 'malang', 'tempatnya', 'bersih']",sejuk seru wisata air keluarga kota malang tempat bersih,A cool place for water for water tourism with family is not so far from the city of Malang where it is clean
Itu benar,itu benar,itu benar,"['itu', 'benar']",[],,that's right
"Kesegaran alami
Gowes sehat ya ke sini👍👍 …",kesegaran alami gowes sehat ya ke sini,kesegaran alami bersepeda sehat sini,"['kesegaran', 'alami', 'bersepeda', 'sehat', 'sini']","['kesegaran', 'alami', 'bersepeda', 'sehat']",segar alami sepeda sehat,natural freshness of healthy cycling here
Sejuk dan teduh...🍃🍃 …,sejuk dan teduh,sejuk dan teduh,"['sejuk', 'dan', 'teduh']","['sejuk', 'teduh']",sejuk teduh,cool and shade
Tidak apa-apa,tidak apaapa,tidak apa apa,"['tidak', 'apa', 'apa']",[],,It doesn't matter
"Tempatnya asri dan rindang , sangat pas untuk santai, cuma tempat parkir yg lumayan jauh di atas tidak terlalu cocok untuk orang yg sudah lanjut usia",tempatnya asri dan rindang sangat pas untuk santai cuma tempat parkir yg lumayan jauh di atas tidak terlalu cocok untuk orang yg sudah lanjut usia,tempatnya asri dan rindang sangat saat untuk santai cuma tempat parkir yang lumayan jauh atas tidak terlalu cocok untuk orang yang sudah lanjut usia,"['tempatnya', 'asri', 'dan', 'rindang', 'sangat', 'saat', 'untuk', 'santai', 'cuma', 'tempat', 'parkir', 'yang', 'lumayan', 'jauh', 'atas', 'tidak', 'terlalu', 'cocok', 'untuk', 'orang', 'yang', 'sudah', 'lanjut', 'usia']","['tempatnya', 'asri', 'rindang', 'santai', 'parkir', 'lumayan', 'cocok', 'orang', 'usia']",tempat asri rindang santai parkir lumayan cocok orang usia,The place is beautiful and shady very time to relax only a parking lot that is quite far above is not too suitable for people who are elderly
Tempat pemandian anak yg cukup teduh dan nyaman...  Masuk wilayah putukrejo gondanglegi malang sekitar 20km dari kota malang...  Murah meriah walau masih dlm proses pengembangan...,tempat pemandian anak yg cukup teduh dan nyaman masuk wilayah putukrejo gondanglegi malang sekitar km dari kota malang murah meriah walau masih dlm proses pengembangan,tempat pemandian anak yang cukup teduh dan nyaman masuk wilayah putukrejo gondanglegi malang sekitar dari kota malang murah meriah walau masih dalam proses pengembangan,"['tempat', 'pemandian', 'anak', 'yang', 'cukup', 'teduh', 'dan', 'nyaman', 'masuk', 'wilayah', 'putukrejo', 'gondanglegi', 'malang', 'sekitar', 'dari', 'kota', 'malang', 'murah', 'meriah', 'walau', 'masih', 'dalam', 'proses', 'pengembangan']","['pemandian', 'anak', 'teduh', 'nyaman', 'masuk', 'wilayah', 'putukrejo', 'gondanglegi', 'malang', 'kota', 'malang', 'murah', 'meriah', 'proses', 'pengembangan']",mandi anak teduh nyaman masuk wilayah putukrejo gondanglegi malang kota malang murah riah proses kembang,a child bathing place that is quite shady and comfortable entering the Putukrejo Gondanglegi Malang area around from Malang City is cheap even though it is still in the process of development
"Sumber Sira | 8 - 11 - 2020

Tempat wisata lokal yang masih dekat dengan kota Malang, sangat cocok jika …",sumber sira tempat wisata lokal yang masih dekat dengan kota malang sangat cocok jika,sumber sira tempat wisata lokal yang masih dekat dengan kota malang sangat cocok jika,"['sumber', 'sira', 'tempat', 'wisata', 'lokal', 'yang', 'masih', 'dekat', 'dengan', 'kota', 'malang', 'sangat', 'cocok', 'jika']","['sumber', 'sira', 'wisata', 'lokal', 'kota', 'malang', 'cocok']",sumber sira wisata lokal kota malang cocok,Sumber Sira local tourist attractions that are still close to Malang City are very suitable if
Seru,seru,seru,['seru'],['seru'],seru,exciting
"Pemandian yg masih alami,lumayan buat nyantai sama keluarga..tarif karcis 500 0 perorang, parkir mobil 10000.",pemandian yg masih alamilumayan buat nyantai sama keluargatarif karcis perorang parkir mobil,pemandian yang masih alami lumayan untuk santai sama keluarga tarif karcis perorang parkir mobil,"['pemandian', 'yang', 'masih', 'alami', 'lumayan', 'untuk', 'santai', 'sama', 'keluarga', 'tarif', 'karcis', 'perorang', 'parkir', 'mobil']","['pemandian', 'alami', 'lumayan', 'santai', 'keluarga', 'tarif', 'karcis', 'perorang', 'parkir', 'mobil']",mandi alami lumayan santai keluarga tarif karcis orang parkir mobil,A natural baths are not bad to relax with the family ticket rates for a car parking
"Tempat ini sangat menyenangkan untuk refresing terutama bersama teman, sahabat, dan atau keluarga sekalipun",tempat ini sangat menyenangkan untuk refresing terutama bersama teman sahabat dan atau keluarga sekalipun,tempat ini sangat menyenangkan untuk refreshing terutama bersama teman sahabat dan atau keluarga sekalipun,"['tempat', 'ini', 'sangat', 'menyenangkan', 'untuk', 'refreshing', 'terutama', 'bersama', 'teman', 'sahabat', 'dan', 'atau', 'keluarga', 'sekalipun']","['menyenangkan', 'refreshing', 'teman', 'sahabat', 'keluarga']",senang refreshing teman sahabat keluarga,"This place is very pleasant to refreshing, especially with friends and or family"
"Tempat masih alami, murah n bagus banget",tempat masih alami murah bagus banget,tempat masih alami murah bagus sangat,"['tempat', 'masih', 'alami', 'murah', 'bagus', 'sangat']","['alami', 'murah', 'bagus']",alami murah bagus,a very cheap natural place is very good
"Tempat yang cocok untuk rekreasi bersama keluarga/teman disaat liburan. Memiliki manajemen tempat yang cukup baik yakni area warung yang tertata dan higenis, harga masuk yang cukup wajar (5k) tetapi yang paling utama adalah area pemandian …",tempat yang cocok untuk rekreasi bersama keluargateman disaat liburan memiliki manajemen tempat yang cukup baik yakni area warung yang tertata dan higenis harga masuk yang cukup wajar tetapi yang paling utama adalah area pemandian,tempat yang cocok untuk rekreasi bersama keluarga teman disaat liburan memiliki manajemen tempat yang cukup baik yakni area warung yang tertata dan hiegenis harga masuk yang cukup wajar tetapi yang paling utama adalah area pemandian,"['tempat', 'yang', 'cocok', 'untuk', 'rekreasi', 'bersama', 'keluarga', 'teman', 'disaat', 'liburan', 'memiliki', 'manajemen', 'tempat', 'yang', 'cukup', 'baik', 'yakni', 'area', 'warung', 'yang', 'tertata', 'dan', 'hiegenis', 'harga', 'masuk', 'yang', 'cukup', 'wajar', 'tetapi', 'yang', 'paling', 'utama', 'adalah', 'area', 'pemandian']","['cocok', 'rekreasi', 'keluarga', 'teman', 'disaat', 'liburan', 'memiliki', 'manajemen', 'area', 'warung', 'tertata', 'hiegenis', 'harga', 'masuk', 'wajar', 'utama', 'area', 'pemandian']",cocok rekreasi keluarga teman saat libur milik manajemen area warung tata hiegenis harga masuk wajar utama area mandi,"A suitable place for recreation with friends of friends while vacation has a pretty good place management, namely the area of ​​the stalls that are arranged and higen -type admission which is quite reasonable but the most important is the bath area"
Di tambah wahana misal flyingfox makin yahuuuut atau wahana seluncuran,di tambah wahana misal flyingfox makin yahuuuut atau wahana seluncuran,tambah wahana misal flying fox makin atau wahana seluncuran,"['tambah', 'wahana', 'misal', 'flying', 'fox', 'makin', 'atau', 'wahana', 'seluncuran']","['wahana', 'flying', 'fox', 'wahana', 'seluncuran']",wahana flying fox wahana seluncur,"Add a vehicle, for example, flying fox, the more or the slide rides"
"Air nya jerni ,seger banget,,tapi tempat nya sedikit kurang nyaman",air nya jerni seger bangettapi tempat nya sedikit kurang nyaman,air jerni segar sangat tapi tempat sedikit kurang nyaman,"['air', 'jerni', 'segar', 'sangat', 'tapi', 'tempat', 'sedikit', 'kurang', 'nyaman']","['air', 'jerni', 'segar', 'nyaman']",air jerni segar nyaman,Very fresh jerni water but a little uncomfortable place
Super,super,super,['super'],['super'],super,super
Jalannya rusak mohon segera di renov,jalannya rusak mohon segera di renov,jalannya rusak mohon segera renovasi,"['jalannya', 'rusak', 'mohon', 'segera', 'renovasi']","['jalannya', 'rusak', 'mohon', 'renovasi']",jalan rusak mohon renovasi,"the road is damaged, please renovate immediately"
"Bagus, airnya jernih dan biaya masuknya pun murah",bagus airnya jernih dan biaya masuknya pun murah,bagus airnya jernih dan biaya masuknya murah,"['bagus', 'airnya', 'jernih', 'dan', 'biaya', 'masuknya', 'murah']","['bagus', 'airnya', 'jernih', 'biaya', 'masuknya', 'murah']",bagus air jernih biaya masuk murah,good clear water and cheap entrance fees
Bagus sih cuma masih kurang tertata apik... Semoga ke depannya lebih bagus...,bagus sih cuma masih kurang tertata apik semoga ke depannya lebih bagus,bagus cuma masih kurang tertata bagus semoga depannya lebih bagus,"['bagus', 'cuma', 'masih', 'kurang', 'tertata', 'bagus', 'semoga', 'depannya', 'lebih', 'bagus']","['bagus', 'tertata', 'bagus', 'semoga', 'depannya', 'bagus']",bagus tata bagus moga depan bagus,good it's just still less organized good hopefully the front is better
Berenang menyenangkan,berenang menyenangkan,berenang menyenangkan,"['berenang', 'menyenangkan']","['berenang', 'menyenangkan']",renang senang,Swimming fun
Alami airnya jernih n udaranya enak utk bernafas lega ...buruan cuzzzzzzz utk liburan yg murah meriah muntahhh🏃🏃🏃🏃💪💪💪💪🤗🤗🤗 …,alami airnya jernih udaranya enak utk bernafas lega buruan cuzzzzzzz utk liburan yg murah meriah muntahhh,alami airnya jernih udaranya enak untuk bernafas lega cepat ayo untuk liburan yang murah meriah muntah,"['alami', 'airnya', 'jernih', 'udaranya', 'enak', 'untuk', 'bernafas', 'lega', 'cepat', 'ayo', 'untuk', 'liburan', 'yang', 'murah', 'meriah', 'muntah']","['alami', 'airnya', 'jernih', 'udaranya', 'enak', 'bernafas', 'lega', 'cepat', 'ayo', 'liburan', 'murah', 'meriah', 'muntah']",alami air jernih udara enak nafas lega cepat ayo libur murah riah muntah,"naturally the water is clear the air is good to breathe freely, let's go for a cheap vacation vomiting"
"alami, airnya jernih",alami airnya jernih,alami airnya jernih,"['alami', 'airnya', 'jernih']","['alami', 'airnya', 'jernih']",alami air jernih,naturally clear water
"Tempat rekreasi yang nyaman dan murah meriah. Akses jalan menuju lokasi mudah ditemukan, banyak penanda yang menuntun Anda kesana. Bisa dilalui R4 dan R2, kondisi jalan aspal. …",tempat rekreasi yang nyaman dan murah meriah akses jalan menuju lokasi mudah ditemukan banyak penanda yang menuntun anda kesana bisa dilalui dan kondisi jalan aspal,tempat rekreasi yang nyaman dan murah meriah akses jalan menuju lokasi mudah ditemukan banyak penanda yang menuntun anda kesana bisa dilalui dan kondisi jalan aspal,"['tempat', 'rekreasi', 'yang', 'nyaman', 'dan', 'murah', 'meriah', 'akses', 'jalan', 'menuju', 'lokasi', 'mudah', 'ditemukan', 'banyak', 'penanda', 'yang', 'menuntun', 'anda', 'kesana', 'bisa', 'dilalui', 'dan', 'kondisi', 'jalan', 'aspal']","['rekreasi', 'nyaman', 'murah', 'meriah', 'akses', 'jalan', 'lokasi', 'mudah', 'ditemukan', 'penanda', 'menuntun', 'kesana', 'kondisi', 'jalan', 'aspal']",rekreasi nyaman murah riah akses jalan lokasi mudah temu tanda tuntun kesana kondisi jalan aspal,comfortable and cheap recreation places access roads to the location easily found many markers that guide you there can be passed and the condition of the asphalt road
"Seneng banget
tempatnya luas buat renang asik...
Airnya masih alami jadi pengen balik main sana...
Baju juga makanannya murah murah",seneng banget tempatnya luas buat renang asik airnya masih alami jadi pengen balik main sana baju juga makanannya murah murah,senang sangat tempatnya luas untuk renang seru airnya masih alami jadi ingin kembali main sana baju juga makanannya murah murah,"['senang', 'sangat', 'tempatnya', 'luas', 'untuk', 'renang', 'seru', 'airnya', 'masih', 'alami', 'jadi', 'ingin', 'kembali', 'main', 'sana', 'baju', 'juga', 'makanannya', 'murah', 'murah']","['senang', 'tempatnya', 'luas', 'renang', 'seru', 'airnya', 'alami', 'main', 'baju', 'makanannya', 'murah', 'murah']",senang tempat luas renang seru air alami main baju makan murah murah,Very happy places to be spacious for swimming exciting water is still natural so I want to go back to playing there clothes and cheap food
Masih banyak yg cuek dg kebersihan. Untuk pengelola tempat wisata Sumber Sira tolong lebih memperbanyak lagi tempat sampah/bisa dalam bentuk yg unik yg lebih memikat para pengunjung enggan buang sembarangan baik sampah organik/anOrganik. …,masih banyak yg cuek dg kebersihan untuk pengelola tempat wisata sumber sira tolong lebih memperbanyak lagi tempat sampahbisa dalam bentuk yg unik yg lebih memikat para pengunjung enggan buang sembarangan baik sampah organikanorganik,masih banyak yang cuek dengan kebersihan untuk pengelola tempat wisata sumber sira tolong lebih memperbanyak lagi tempat sampah bisa dalam bentuk yang unik yang lebih memikat para pengunjung enggan buang sembarangan baik sampah organik anorganik,"['masih', 'banyak', 'yang', 'cuek', 'dengan', 'kebersihan', 'untuk', 'pengelola', 'tempat', 'wisata', 'sumber', 'sira', 'tolong', 'lebih', 'memperbanyak', 'lagi', 'tempat', 'sampah', 'bisa', 'dalam', 'bentuk', 'yang', 'unik', 'yang', 'lebih', 'memikat', 'para', 'pengunjung', 'enggan', 'buang', 'sembarangan', 'baik', 'sampah', 'organik', 'anorganik']","['cuek', 'kebersihan', 'pengelola', 'wisata', 'sumber', 'sira', 'tolong', 'memperbanyak', 'sampah', 'bentuk', 'unik', 'memikat', 'pengunjung', 'enggan', 'buang', 'sembarangan', 'sampah', 'organik', 'anorganik']",cuek bersih kelola wisata sumber sira tolong banyak sampah bentuk unik mikat unjung enggan buang sembarang sampah organik anorganik,"There are still many who are ignorant of cleanliness for the manager of Sumber Sira tourist attractions, please further increase the trash can in a unique form that is more captivating that visitors are reluctant to defecate both inorganic organic waste"
air jernih alami dari sumber mata air dingin yang segar,air jernih alami dari sumber mata air dingin yang segar,air jernih alami dari sumber mata air dingin yang segar,"['air', 'jernih', 'alami', 'dari', 'sumber', 'mata', 'air', 'dingin', 'yang', 'segar']","['air', 'jernih', 'alami', 'sumber', 'mata', 'air', 'dingin', 'segar']",air jernih alami sumber mata air dingin segar,natural clear water from fresh cold spring sources
Mantap,mantap,mantap,['mantap'],['mantap'],mantap,stable
Bagus tapi sayang kurang terpelihara,bagus tapi sayang kurang terpelihara,bagus tapi sayang kurang terpelihara,"['bagus', 'tapi', 'sayang', 'kurang', 'terpelihara']","['bagus', 'sayang', 'terpelihara']",bagus sayang pelihara,Good but unfortunate is not preserved
"Tanah Kavling Harga 20 jutaan Kawasan Wisata Malang

HOT PROMO …",tanah kavling harga jutaan kawasan wisata malang hot promo,tanah kavling harga jutaan kawasan wisata malang hot promo,"['tanah', 'kavling', 'harga', 'jutaan', 'kawasan', 'wisata', 'malang', 'hot', 'promo']","['tanah', 'kavling', 'harga', 'jutaan', 'kawasan', 'wisata', 'malang', 'hot', 'promo']",tanah kavling harga juta kawasan wisata malang hot promo,land plots prices for millions of Malang Hot Promo tourist areas
Bagus cuma belum maksimal penataannya ...,bagus cuma belum maksimal penataannya,bagus cuma belum maksimal penataannya,"['bagus', 'cuma', 'belum', 'maksimal', 'penataannya']","['bagus', 'maksimal', 'penataannya']",bagus maksimal tata,good it's just not optimal arrangement
Bersama siswa MTs Alazhar Brongkal,bersama siswa mts alazhar brongkal,bersama siswa mts alazhar brongkal,"['bersama', 'siswa', 'mts', 'alazhar', 'brongkal']","['siswa', 'mts', 'alazhar', 'brongkal']",siswa mts alazhar brongkal,With MTS Students Alazhar Brongkal
Bagus,bagus,bagus,['bagus'],['bagus'],bagus,Good
"Bagus, tapi sayang tanaman airnya udah gaada si kayaknya, htm nya juga cuma 12k untuk 2 orang dan 1 motor",bagus tapi sayang tanaman airnya udah gaada si kayaknya htm nya juga cuma untuk orang dan motor,bagus tapi sayang tanaman airnya udah tidak ada kayaknya harga tiket masuk juga cuma untuk orang dan motor,"['bagus', 'tapi', 'sayang', 'tanaman', 'airnya', 'udah', 'tidak', 'ada', 'kayaknya', 'harga', 'tiket', 'masuk', 'juga', 'cuma', 'untuk', 'orang', 'dan', 'motor']","['bagus', 'sayang', 'tanaman', 'airnya', 'udah', 'kayaknya', 'harga', 'tiket', 'masuk', 'orang', 'motor']",bagus sayang tanam air udah kayak harga tiket masuk orang motor,good but unfortunately there is no water plant like the price of admission is also only for people and motorcycles
"Tamanx sdah bagus, hanya kolam pemandianx perlu d atur ulang",tamanx sdah bagus hanya kolam pemandianx perlu atur ulang,tamannya sudah bagus hanya kolam pemandiannya perlu atur ulang,"['tamannya', 'sudah', 'bagus', 'hanya', 'kolam', 'pemandiannya', 'perlu', 'atur', 'ulang']","['tamannya', 'bagus', 'kolam', 'pemandiannya', 'atur', 'ulang']",taman bagus kolam mandi atur ulang,"The garden is good, only the bath pool needs to be rearranged"
"Tempatnya enak bersih, kamar mandi dan kamar gantinya bersih",tempatnya enak bersih kamar mandi dan kamar gantinya bersih,tempatnya enak bersih kamar mandi dan kamar gantinya bersih,"['tempatnya', 'enak', 'bersih', 'kamar', 'mandi', 'dan', 'kamar', 'gantinya', 'bersih']","['tempatnya', 'enak', 'bersih', 'kamar', 'mandi', 'kamar', 'gantinya', 'bersih']",tempat enak bersih kamar mandi kamar ganti bersih,the place is delicious to clean the bathroom and the room is clean instead
Tempat yg asik maen air bareng teman2 atau keluarga...dengan pemandangan yg juga bagus di kelilingi sawah2..airnya juga jernih,tempat yg asik maen air bareng teman atau keluargadengan pemandangan yg juga bagus di kelilingi sawahairnya juga jernih,tempat yang seru main air bareng teman atau keluarga dengan pemandangan yang juga bagus kelilingi sawah airnya juga jernih,"['tempat', 'yang', 'seru', 'main', 'air', 'bareng', 'teman', 'atau', 'keluarga', 'dengan', 'pemandangan', 'yang', 'juga', 'bagus', 'kelilingi', 'sawah', 'airnya', 'juga', 'jernih']","['seru', 'main', 'air', 'bareng', 'teman', 'keluarga', 'pemandangan', 'bagus', 'kelilingi', 'sawah', 'airnya', 'jernih']",seru main air bareng teman keluarga pandang bagus keliling sawah air jernih,An exciting place to play water with friends or family with a view that is also good around the water rice fields is also clear
Bagus,bagus,bagus,['bagus'],['bagus'],bagus,Good
Sumber airmu segar sekali...bagus,sumber airmu segar sekalibagus,sumber airmu segar,"['sumber', 'airmu', 'segar']","['sumber', 'airmu', 'segar']",sumber air segar,your water source is fresh
Bersih,bersih,bersih,['bersih'],['bersih'],bersih,clean
Suka selai gaess..,suka selai gaess,suka selai,"['suka', 'selai']","['suka', 'selai']",suka selai,Like jam
Tempat yang bagus untuk bersantai bersama teman atau keluarga dengan tiket masuk yang terjangkau,tempat yang bagus untuk bersantai bersama teman atau keluarga dengan tiket masuk yang terjangkau,tempat yang bagus untuk bersantai bersama teman atau keluarga dengan tiket masuk yang terjangkau,"['tempat', 'yang', 'bagus', 'untuk', 'bersantai', 'bersama', 'teman', 'atau', 'keluarga', 'dengan', 'tiket', 'masuk', 'yang', 'terjangkau']","['bagus', 'bersantai', 'teman', 'keluarga', 'tiket', 'masuk', 'terjangkau']",bagus santa teman keluarga tiket masuk jangkau,A good place to relax with friends or family with affordable entrance tickets
Dari tahun ke tahun Tempat makin baik. Tempat istirahat mulai banyak dan luas. Hanya saja area berenangnya belum banyak perubahan dan karna hari sabtu minggu biasanya rame banget jadi area berenangnya terlalu penuh. …,dari tahun ke tahun tempat makin baik tempat istirahat mulai banyak dan luas hanya saja area berenangnya belum banyak perubahan dan karna hari sabtu minggu biasanya rame banget jadi area berenangnya terlalu penuh,dari tahun tahun tempat makin baik tempat istirahat mulai banyak dan luas hanya saja area berenangnya belum banyak perubahan dan karena hari sabtu minggu biasanya ramai sangat jadi area berenangnya terlalu penuh,"['dari', 'tahun', 'tahun', 'tempat', 'makin', 'baik', 'tempat', 'istirahat', 'mulai', 'banyak', 'dan', 'luas', 'hanya', 'saja', 'area', 'berenangnya', 'belum', 'banyak', 'perubahan', 'dan', 'karena', 'hari', 'sabtu', 'minggu', 'biasanya', 'ramai', 'sangat', 'jadi', 'area', 'berenangnya', 'terlalu', 'penuh']","['istirahat', 'luas', 'area', 'berenangnya', 'perubahan', 'sabtu', 'minggu', 'ramai', 'area', 'berenangnya', 'penuh']",istirahat luas area renang ubah sabtu minggu ramai area renang penuh,"from the year the better places to rest began a lot and wide, but the swimming area has not changed much and because Saturday Sunday is usually very crowded so the swimming area is too full"
Oke,oke,oke,['oke'],['oke'],oke,boundary
Sejuk,sejuk,sejuk,['sejuk'],['sejuk'],sejuk,cold
tempatnya sangat menyegarkan,tempatnya sangat menyegarkan,tempatnya sangat menyegarkan,"['tempatnya', 'sangat', 'menyegarkan']","['tempatnya', 'menyegarkan']",tempat segar,The place is very refreshing
Lebih seringnya kesini cuman buat ngopi gak berenang tapi tetep harus bayar tiket..  Pernah liat ada pengunjung lain kehilangan helm disini tapi gak ada ganti rugi nya..  Soo..  Amankan barang kalian guys..  Meski ada tukang parkirnya gak jamin aman juga.. Happy hollyday..,lebih seringnya kesini cuman buat ngopi gak berenang tapi tetep harus bayar tiket pernah liat ada pengunjung lain kehilangan helm disini tapi gak ada ganti rugi nya soo amankan barang kalian guys meski ada tukang parkirnya gak jamin aman juga happy hollyday,lebih seringnya kesini cuma untuk ngopi tidak berenang tapi tetep harus bayar tiket pernah liat ada pengunjung lain kehilangan helm disini tapi tidak ada ganti rugi jadi amankan barang kalian meski ada tukang parkirnya tidak jamin aman juga happy holiday,"['lebih', 'seringnya', 'kesini', 'cuma', 'untuk', 'ngopi', 'tidak', 'berenang', 'tapi', 'tetep', 'harus', 'bayar', 'tiket', 'pernah', 'liat', 'ada', 'pengunjung', 'lain', 'kehilangan', 'helm', 'disini', 'tapi', 'tidak', 'ada', 'ganti', 'rugi', 'jadi', 'amankan', 'barang', 'kalian', 'meski', 'ada', 'tukang', 'parkirnya', 'tidak', 'jamin', 'aman', 'juga', 'happy', 'holiday']","['kesini', 'ngopi', 'berenang', 'tetep', 'bayar', 'tiket', 'liat', 'pengunjung', 'kehilangan', 'helm', 'ganti', 'rugi', 'amankan', 'barang', 'tukang', 'parkirnya', 'jamin', 'aman', 'happy', 'holiday']",kesini ngopi renang tetep bayar tiket liat unjung hilang helm ganti rugi aman barang tukang parkir jamin aman happy holiday,more often here just to drink coffee not swimming but still have to pay for tickets to see other visitors to lose helmets here but there is no compensation so secure your goods even though there are parking attendants not guaranteed safe or happy holiday
Bagus,bagus,bagus,['bagus'],['bagus'],bagus,Good
Suasana syahdu sekali... Air bersih dan dingiiiiiinn...,suasana syahdu sekali air bersih dan dingiiiiiinn,suasana syahdu sekali air bersih dan dingiiiiiinn,"['suasana', 'syahdu', 'sekali', 'air', 'bersih', 'dan', 'dingiiiiiinn']","['suasana', 'syahdu', 'air', 'bersih', 'dingiiiiiinn']",suasana syahdu air bersih dingiiiiiinn,The atmosphere of solemn is very clean water and dingiiiiiinn
Air bagus dan pemandangan desa bagus,air bagus dan pemandangan desa bagus,air bagus dan pemandangan desa bagus,"['air', 'bagus', 'dan', 'pemandangan', 'desa', 'bagus']","['air', 'bagus', 'pemandangan', 'desa', 'bagus']",air bagus pandang desa bagus,good water and good village view
Jernih,jernih,jernih,['jernih'],['jernih'],jernih,clear
Seger jg buat renang sejuk,seger jg buat renang sejuk,segar juga untuk renang sejuk,"['segar', 'juga', 'untuk', 'renang', 'sejuk']","['segar', 'renang', 'sejuk']",segar renang sejuk,fresh too for cold swimming
"Air sumber alami,bersih belum tercemar bahan kimia...bersih",air sumber alamibersih belum tercemar bahan kimiabersih,air sumber alami bersih belum tercemar bahan kimia bersih,"['air', 'sumber', 'alami', 'bersih', 'belum', 'tercemar', 'bahan', 'kimia', 'bersih']","['air', 'sumber', 'alami', 'bersih', 'tercemar', 'bahan', 'kimia', 'bersih']",air sumber alami bersih cemar bahan kimia bersih,clean natural source water has not been contaminated with clean chemicals
